Engagement_ID,Content_ID,Content_Type,Likes,Engagement_Date,Campaign_ID,Product_ID,Views,Clicks
E0P1001,CT0P1001,Blog,53,01-01-2022,CAM3286,P1001,6824,141
E0P1002,CT0P1002,Blog,152,01-01-2022,CAM7912,P1002,6679,269
E0P1003,CT0P1003,Social Media,42,01-01-2022,CAM1434,P1003,5520,115
E0P1004,CT0P1004,Social Media,182,01-01-2022,CAM7873,P1004,14195,368
E0P1005,CT0P1005,Blog,110,01-01-2022,CAM3615,P1005,8611,288
E0P1006,CT0P1006,Video,124,01-01-2022,CAM2674,P1006,11924,360
E0P1007,CT0P1007,Video,83,01-01-2022,CAM5333,P1007,6519,204
E0P1008,CT0P1008,Video,110,01-01-2022,CAM2291,P1008,5711,239
E0P1009,CT0P1009,Video,197,01-01-2022,CAM4150,P1009,14044,404
E0P1010,CT0P1010,Video,48,01-01-2022,CAM2307,P1010,6139,131
E0P1011,CT0P1011,Video,167,01-01-2022,CAM6977,P1011,8814,405
E0P1012,CT0P1012,Video,86,01-01-2022,CAM2169,P1012,7664,238
E0P1013,CT0P1013,Blog,268,01-01-2022,CAM3677,P1013,14980,584
E0P1014,CT0P1014,Social Media,235,01-01-2022,CAM4598,P1014,12573,394
E0P1015,CT0P1015,Blog,248,01-01-2022,CAM1525,P1015,10313,467
E0P1016,CT0P1016,Social Media,103,01-01-2022,CAM6155,P1016,10168,325
E0P1017,CT0P1017,Social Media,140,01-01-2022,CAM8517,P1017,8483,336
E0P1018,CT0P1018,Social Media,76,01-01-2022,CAM9830,P1018,7340,205
E0P1019,CT0P1019,Social Media,168,01-01-2022,CAM7543,P1019,9304,394
E0P1020,CT0P1020,Social Media,173,01-01-2022,CAM9085,P1020,10930,290
E0P1021,CT0P1021,Blog,154,01-01-2022,CAM3621,P1021,6489,276
E0P1022,CT0P1022,Social Media,187,01-01-2022,CAM8668,P1022,11916,451
E0P1023,CT0P1023,Blog,175,01-01-2022,CAM2876,P1023,13669,376
E0P1024,CT0P1024,Video,310,01-01-2022,CAM2827,P1024,13797,586
E0P1025,CT0P1025,Social Media,141,01-01-2022,CAM5315,P1025,9808,324
E1P1001,CT1P1001,Blog,255,02-01-2022,CAM5889,P1001,13193,565
E1P1002,CT1P1002,Blog,176,02-01-2022,CAM9837,P1002,13309,509
E1P1003,CT1P1003,Video,311,02-01-2022,CAM1319,P1003,13681,650
E1P1004,CT1P1004,Video,183,02-01-2022,CAM4923,P1004,6828,326
E1P1005,CT1P1005,Blog,75,02-01-2022,CAM2403,P1005,5945,161
E1P1006,CT1P1006,Social Media,341,02-01-2022,CAM3060,P1006,12954,576
E1P1007,CT1P1007,Blog,164,02-01-2022,CAM5342,P1007,7099,282
E1P1008,CT1P1008,Blog,268,02-01-2022,CAM9835,P1008,13637,629
E1P1009,CT1P1009,Social Media,143,02-01-2022,CAM7118,P1009,8290,343
E1P1010,CT1P1010,Blog,248,02-01-2022,CAM4681,P1010,12170,571
E1P1011,CT1P1011,Blog,86,02-01-2022,CAM4608,P1011,6045,182
E1P1012,CT1P1012,Blog,55,02-01-2022,CAM2104,P1012,5114,113
E1P1013,CT1P1013,Blog,80,02-01-2022,CAM5562,P1013,5510,252
E1P1014,CT1P1014,Social Media,116,02-01-2022,CAM8744,P1014,12945,342
E1P1015,CT1P1015,Blog,211,02-01-2022,CAM2545,P1015,8976,390
E1P1016,CT1P1016,Video,106,02-01-2022,CAM8651,P1016,6584,261
E1P1017,CT1P1017,Blog,140,02-01-2022,CAM1993,P1017,5883,236
E1P1018,CT1P1018,Blog,261,02-01-2022,CAM5073,P1018,11589,484
E1P1019,CT1P1019,Video,90,02-01-2022,CAM4006,P1019,8134,209
E1P1020,CT1P1020,Blog,181,02-01-2022,CAM8260,P1020,9557,323
E1P1021,CT1P1021,Social Media,159,02-01-2022,CAM1241,P1021,14008,321
E1P1022,CT1P1022,Blog,172,02-01-2022,CAM7658,P1022,6524,311
E1P1023,CT1P1023,Blog,248,02-01-2022,CAM3697,P1023,12948,445
E1P1024,CT1P1024,Video,93,02-01-2022,CAM5673,P1024,11202,224
E1P1025,CT1P1025,Social Media,252,02-01-2022,CAM8973,P1025,11923,487
E2P1001,CT2P1001,Blog,70,03-01-2022,CAM9883,P1001,7527,193
E2P1002,CT2P1002,Social Media,80,03-01-2022,CAM8811,P1002,5991,254
E2P1003,CT2P1003,Blog,288,03-01-2022,CAM9320,P1003,13223,629
E2P1004,CT2P1004,Blog,91,03-01-2022,CAM4853,P1004,6305,287
E2P1005,CT2P1005,Blog,154,03-01-2022,CAM1651,P1005,11602,273
E2P1006,CT2P1006,Social Media,97,03-01-2022,CAM6183,P1006,6336,206
E2P1007,CT2P1007,Blog,124,03-01-2022,CAM5351,P1007,9261,241
E2P1008,CT2P1008,Video,135,03-01-2022,CAM6180,P1008,11471,274
E2P1009,CT2P1009,Social Media,60,03-01-2022,CAM2638,P1009,6181,125
E2P1010,CT2P1010,Blog,100,03-01-2022,CAM6718,P1010,6193,223
E2P1011,CT2P1011,Blog,116,03-01-2022,CAM8179,P1011,6120,283
E2P1012,CT2P1012,Social Media,275,03-01-2022,CAM9666,P1012,13884,570
E2P1013,CT2P1013,Social Media,95,03-01-2022,CAM2697,P1013,5122,205
E2P1014,CT2P1014,Social Media,113,03-01-2022,CAM3546,P1014,7192,200
E2P1015,CT2P1015,Video,97,03-01-2022,CAM4335,P1015,9451,268
