Review_ID,Customer_ID,Product_ID,Review_Date,Product_Rating,Review_Text
R415901,C100584,P1009,31-12-2025,4,Very good product.
R336157,C100411,P1006,28-12-2025,1,Extremely poor quality.
R987386,C100408,P1001,25-12-2025,1,Very disappointed with this purchase.
R957334,C100064,P1004,22-12-2025,3,"Average quality, acceptable."
R516153,C101131,P1009,19-12-2025,5,"Excellent quality, highly recommend."
R993949,C101412,P1019,04-12-2025,2,Not very satisfied.
R808129,C102149,P1012,03-12-2025,4,Very good product.
R996622,C100842,P1018,02-12-2025,1,Very disappointed with this purchase.
R996987,C100973,P1019,21-11-2025,1,Extremely poor quality.
R514857,C102866,P1009,20-11-2025,1,Very disappointed with this purchase.
R784593,C101509,P1011,20-11-2025,4,Very good product.
R850707,C102386,P1017,13-11-2025,2,Below expectations.
R502930,C102333,P1018,10-11-2025,1,Extremely poor quality.
R776125,C101596,P1013,02-11-2025,5,"Excellent quality, highly recommend."
R505145,C102905,P1011,28-10-2025,5,Outstanding product and durability.
R893159,C101583,P1014,28-10-2025,2,Not very satisfied.
R516859,C102152,P1023,23-10-2025,1,Very disappointed with this purchase.
R832320,C100948,P1025,17-10-2025,2,Not very satisfied.
R955815,C102301,P1014,13-10-2025,1,Very disappointed with this purchase.
R268911,C100269,P1002,25-09-2025,1,Extremely poor quality.
R980898,C100020,P1014,25-09-2025,1,Very disappointed with this purchase.
R315409,C100859,P1013,13-09-2025,1,Very disappointed with this purchase.
R858130,C102861,P1014,13-09-2025,3,Decent but can improve.
R952106,C102778,P1017,11-09-2025,2,Below expectations.
R731039,C101540,P1020,08-09-2025,1,Extremely poor quality.
R912009,C102951,P1010,05-09-2025,2,Not very satisfied.
R660164,C102620,P1010,31-08-2025,1,Very disappointed with this purchase.
R408248,C102480,P1017,28-08-2025,3,Decent but can improve.
R415225,C102940,P1022,28-08-2025,1,Very disappointed with this purchase.
R151016,C102711,P1002,19-08-2025,5,Outstanding product and durability.
R356038,C102126,P1006,19-08-2025,1,Very disappointed with this purchase.
R681537,C100995,P1013,19-08-2025,1,Extremely poor quality.
R693458,C102147,P1023,15-08-2025,1,Very disappointed with this purchase.
R209160,C101559,P1025,14-08-2025,2,Not very satisfied.
R929293,C101240,P1005,13-08-2025,4,Satisfied with the performance.
R624478,C102819,P1019,12-08-2025,1,Very disappointed with this purchase.
R482273,C101322,P1005,10-08-2025,3,"Average quality, acceptable."
R776630,C102789,P1021,06-08-2025,4,Satisfied with the performance.
R328988,C102615,P1009,01-08-2025,1,Very disappointed with this purchase.
R613283,C100795,P1001,30-07-2025,1,Extremely poor quality.
R247474,C101890,P1007,29-07-2025,1,Very disappointed with this purchase.
R849487,C101219,P1023,20-07-2025,1,Very disappointed with this purchase.
R433964,C100155,P1006,14-07-2025,1,Extremely poor quality.
R233597,C100514,P1020,02-07-2025,3,Decent but can improve.
R669871,C102579,P1021,02-07-2025,1,Very disappointed with this purchase.
R292598,C101514,P1025,28-06-2025,2,Not very satisfied.
R869291,C100853,P1004,26-06-2025,2,Below expectations.
R894076,C100906,P1015,25-06-2025,3,"Average quality, acceptable."
R416030,C102453,P1020,20-06-2025,3,Decent but can improve.
R752769,C100139,P1025,15-06-2025,1,Extremely poor quality.
R524096,C101201,P1020,10-06-2025,1,Extremely poor quality.
R478777,C100603,P1022,08-06-2025,2,Below expectations.
R636788,C100061,P1016,04-06-2025,2,Not very satisfied.
R788019,C100814,P1002,01-06-2025,1,Extremely poor quality.
R469522,C100885,P1007,28-05-2025,2,Below expectations.
