Journey_ID,Customer_ID,Product_ID,Visit_Date,Visit_Time,Stage,Action,Duration_Seconds
J180285,C100628,P1007,10-06-2024,05:28:11,Product Page,view,287
J116688,C101082,P1017,18-06-2024,23:27:33,Homepage,view,193
J904391,C100276,P1013,05-12-2023,13:16:34,Checkout,drop off,32
J745977,C102927,P1014,23-05-2024,05:32:13,Checkout,drop off,99
J949348,C100302,P1002,14-08-2024,12:01:12,Homepage,view,41
J415618,C101529,P1007,04-06-2025,17:13:41,Homepage,view,238
J121803,C102475,P1006,30-05-2024,01:02:30,Homepage,view,197
J123214,C101731,P1002,28-03-2025,03:10:55,Product Page,view,381
J406432,C102726,P1014,16-12-2023,14:01:22,Checkout,drop off,47
J290819,C100369,P1004,24-02-2024,04:12:55,Checkout,drop off,386
J688614,C100359,P1025,02-10-2022,03:35:48,Checkout,drop off,68
J391133,C101294,P1005,30-10-2024,04:50:05,Homepage,view,335
J617558,C101245,P1001,26-12-2024,08:31:09,Product Page,view,105
J974817,C101608,P1004,09-05-2024,03:15:30,Product Page,view,83
J173377,C101272,P1015,19-04-2025,11:36:51,Product Page,view,164
J301958,C100860,P1014,16-01-2022,04:57:47,Checkout,drop off,566
J335011,C100940,P1012,06-12-2025,13:38:19,Product Page,view,340
J601058,C102484,P1019,16-07-2022,03:38:45,Checkout,drop off,376
J477631,C102971,P1017,27-12-2024,08:06:47,Homepage,view,104
J320919,C102663,P1005,19-10-2022,07:41:33,Product Page,view,259
J686112,C100055,P1002,07-08-2023,01:01:48,Product Page,view,38
J665403,C101621,P1001,27-03-2024,00:28:00,Homepage,view,353
J140973,C102503,P1021,29-12-2023,12:29:06,Homepage,view,211
J660197,C102165,P1023,14-08-2025,04:09:03,Homepage,view,266
J997917,C101981,P1002,25-08-2024,17:00:03,Product Page,view,45
J436116,C100359,P1001,04-03-2025,12:55:45,Checkout,drop off,218
J130136,C102529,P1005,24-12-2024,13:22:26,Homepage,view,337
J136864,C100123,P1025,02-01-2025,05:11:55,Checkout,drop off,339
J424673,C101921,P1019,14-02-2022,17:54:23,Homepage,view,155
J263258,C102878,P1010,18-08-2023,16:31:42,Product Page,view,215
J797385,C100252,P1019,30-12-2024,06:17:10,Checkout,drop off,167
J418109,C101638,P1020,21-07-2022,19:52:53,Homepage,view,145
J269757,C101633,P1018,18-03-2024,17:12:00,Homepage,view,322
J527500,C101541,P1025,29-04-2024,03:51:47,Homepage,view,262
J927964,C100188,P1019,13-12-2024,06:40:59,Checkout,drop off,385
J179650,C100775,P1020,22-10-2024,06:45:40,Checkout,drop off,147
J288987,C102312,P1009,24-01-2022,09:15:01,Homepage,view,319
J762265,C102833,P1010,25-09-2022,22:22:39,Checkout,drop off,292
J104681,C102573,P1024,25-09-2025,07:39:55,Product Page,view,342
J203035,C100221,P1001,18-08-2023,06:22:47,Homepage,view,231
J847134,C101992,P1006,11-05-2022,09:30:08,Checkout,drop off,182
J655703,C102162,P1022,12-04-2025,07:32:46,Product Page,view,380
J803356,C100903,P1010,03-01-2024,07:58:12,Checkout,drop off,52
J503107,C101926,P1008,09-12-2023,01:56:48,Homepage,view,120
J373129,C102157,P1025,31-01-2024,12:44:57,Checkout,drop off,268
J528707,C102524,P1002,25-07-2022,19:20:31,Product Page,view,241
J340301,C102092,P1025,21-10-2022,15:17:46,Product Page,view,387
J210177,C102028,P1007,07-04-2025,02:12:53,Homepage,view,132
J952238,C100408,P1010,17-03-2025,12:11:32,Homepage,view,396
J913197,C100907,P1018,22-05-2023,14:07:37,Checkout,drop off,52
J104936,C102051,P1006,17-02-2025,04:12:22,Checkout,drop off,295
J135227,C101755,P1020,29-10-2025,17:51:15,Checkout,drop off,343
J786313,C101861,P1021,01-06-2022,11:42:10,Checkout,drop off,397
J194524,C101487,P1009,13-12-2022,04:54:48,Product Page,view,74
J973326,C101935,P1025,04-02-2024,00:56:16,Checkout,drop off,134
J124979,C101009,P1025,30-03-2023,09:46:03,Checkout,drop off,312
J735180,C100507,P1007,13-03-2024,21:55:00,Product Page,view,237
J321900,C101186,P1010,11-03-2022,09:15:25,Product Page,view,103
J490493,C102601,P1015,12-03-2024,06:30:14,Homepage,view,259
J162220,C101991,P1011,03-12-2025,23:36:12,Product Page,view,132
J130104,C100375,P1018,11-03-2023,12:37:45,Homepage,view,102
J891786,C102177,P1008,24-02-2025,06:24:39,Homepage,view,37
J449887,C101301,P1012,23-12-2023,09:16:13,Product Page,view,315
J834775,C100537,P1020,27-10-2024,07:20:03,Checkout,drop off,235
J914781,C100255,P1009,10-08-2022,06:17:36,Checkout,drop off,310
J510454,C101702,P1017,18-10-2022,19:33:56,Homepage,view,190
J204256,C100524,P1016,30-10-2024,20:53:08,Product Page,view,298
J883419,C101645,P1019,12-07-2022,16:25:45,Checkout,drop off,142
J584002,C100526,P1009,14-12-2025,16:19:54,Homepage,view,61
J366904,C100872,P1007,30-12-2025,08:13:44,Homepage,view,383
J870474,C101738,P1012,12-05-2025,19:54:43,Product Page,view,397
J706260,C101649,P1020,31-05-2023,06:32:12,Homepage,view,280
J951454,C101405,P1013,28-10-2023,04:24:38,Product Page,view,77
J810397,C101069,P1010,02-09-2025,04:27:09,Checkout,drop off,81
J528839,C100527,P1010,07-02-2024,01:19:08,Checkout,drop off,178
J870993,C100598,P1010,25-10-2023,11:38:38,Homepage,view,207
J624269,C101637,P1019,01-05-2022,05:02:36,Product Page,view,123
J172311,C100899,P1009,12-06-2024,06:19:12,Product Page,view,246
J630159,C102206,P1010,30-07-2023,17:39:11,Checkout,drop off,168
J445924,C102734,P1006,16-04-2023,18:46:29,Product Page,view,263
J132604,C100536,P1025,01-10-2025,05:43:16,Product Page,view,182
J864329,C100248,P1009,05-11-2022,11:59:14,Product Page,view,270
J409794,C100049,P1005,23-04-2025,14:16:40,Product Page,view,355
J770026,C100685,P1020,15-02-2025,13:41:15,Homepage,view,367
J413281,C102995,P1022,25-11-2025,03:40:26,Homepage,view,342
J604485,C102566,P1025,30-12-2022,09:22:52,Homepage,view,280
J124777,C100167,P1011,03-09-2025,09:50:32,Homepage,view,321
J519427,C102158,P1014,13-10-2023,06:11:15,Homepage,view,388
J308927,C102535,P1020,01-05-2025,11:53:39,Product Page,view,116
J748469,C101546,P1008,08-09-2024,12:16:50,Checkout,drop off,218
J254224,C102116,P1004,25-02-2025,11:52:23,Product Page,view,43
J821164,C101584,P1014,07-08-2023,16:51:49,Homepage,view,46
J387883,C102068,P1013,02-11-2024,08:12:55,Checkout,drop off,396
J496727,C100205,P1005,06-02-2022,04:17:45,Product Page,view,154
J661728,C102061,P1003,18-05-2024,14:10:37,Homepage,view,297
J760203,C100854,P1001,09-11-2024,06:50:06,Product Page,view,372
J223337,C100102,P1013,08-05-2025,01:55:08,Checkout,drop off,361
J260672,C100990,P1014,31-08-2025,07:20:12,Homepage,view,196
J304229,C102590,P1018,06-02-2023,21:03:23,Homepage,view,259
J275900,C102494,P1010,04-07-2022,00:30:51,Homepage,view,229
J544835,C102241,P1005,23-05-2023,07:45:14,Checkout,drop off,318
J488381,C102175,P1003,27-03-2025,20:19:10,Homepage,view,369
J250359,C101123,P1017,26-10-2025,01:55:39,Checkout,drop off,59
J394850,C102938,P1001,15-10-2023,05:02:35,Checkout,drop off,301
J786600,C102167,P1011,21-08-2024,16:58:36,Product Page,view,44
J859220,C102031,P1015,10-07-2023,12:00:29,Checkout,purchase,338
J428226,C100989,P1018,19-08-2024,22:23:51,Product Page,view,305
J206348,C101365,P1010,06-01-2022,08:39:30,Checkout,purchase,98
J699378,C100317,P1012,05-10-2022,22:03:59,Homepage,view,318
J693347,C100660,P1012,12-08-2024,07:22:53,Homepage,view,372
J718492,C101106,P1005,13-05-2024,10:53:39,Checkout,drop off,347
J908159,C100088,P1010,18-10-2022,12:25:18,Homepage,view,243
J292908,C100213,P1021,17-01-2024,18:40:16,Product Page,view,85
J763598,C101502,P1009,27-04-2022,14:58:25,Checkout,drop off,339
J311788,C101062,P1015,27-03-2025,03:07:44,Homepage,view,389
J118588,C102331,P1006,22-11-2022,10:15:56,Product Page,view,358
J201405,C102828,P1012,20-07-2024,12:54:32,Checkout,drop off,205
J146038,C101229,P1011,04-02-2025,01:01:07,Product Page,view,134
J797388,C101486,P1010,18-11-2022,19:45:36,Checkout,drop off,116
J489945,C100269,P1014,06-01-2025,04:11:13,Homepage,view,281
J288702,C102621,P1017,08-10-2023,02:43:52,Checkout,drop off,84
J592296,C102577,P1018,04-05-2023,08:26:28,Homepage,view,143
J871518,C100484,P1011,11-01-2024,20:48:38,Product Page,view,162
J956120,C101139,P1003,31-03-2023,14:52:40,Product Page,view,394
J794882,C102246,P1025,03-08-2025,06:55:17,Checkout,drop off,396
J258252,C100803,P1021,03-01-2022,14:17:48,Homepage,view,155
J456569,C100038,P1021,31-01-2023,02:01:55,Homepage,view,254
J618421,C102710,P1014,23-11-2022,05:14:44,Homepage,view,289
J461437,C102665,P1018,03-11-2022,07:45:26,Product Page,view,42
J612000,C100659,P1019,10-11-2024,13:33:45,Checkout,drop off,51
J746819,C102325,P1005,07-01-2024,03:42:33,Checkout,drop off,223
J150310,C102602,P1015,26-11-2025,18:07:27,Homepage,view,229
J587237,C101018,P1001,08-07-2023,00:21:39,Checkout,drop off,313
J926059,C100581,P1010,08-01-2022,05:31:37,Checkout,drop off,210
J580654,C101525,P1007,17-04-2023,05:36:12,Checkout,drop off,373
J286633,C101633,P1006,17-10-2024,13:27:19,Homepage,view,282
J212838,C100809,P1013,05-02-2023,00:24:38,Checkout,drop off,363
J847921,C102853,P1003,08-06-2025,22:58:34,Homepage,view,343
J367270,C102007,P1013,25-01-2023,03:13:43,Checkout,drop off,205
J308546,C102821,P1025,19-05-2024,04:58:01,Homepage,view,170
J917203,C100940,P1004,27-01-2023,20:51:12,Homepage,view,199
J879611,C101842,P1001,07-04-2022,12:15:11,Checkout,drop off,53
J235390,C101191,P1019,09-09-2022,08:19:09,Product Page,view,128
J654652,C102962,P1002,24-12-2025,12:19:56,Checkout,drop off,222
J791240,C102496,P1012,21-09-2023,19:08:36,Homepage,view,328
J944137,C101765,P1010,24-03-2023,15:07:10,Homepage,view,389
J225126,C101190,P1010,20-05-2024,05:58:58,Homepage,view,247
J363940,C101917,P1020,02-11-2024,12:59:34,Product Page,view,246
J811650,C102111,P1021,28-01-2023,12:44:48,Checkout,purchase,197
J776837,C101208,P1013,28-11-2023,13:57:43,Product Page,view,209
J741380,C102777,P1011,24-05-2023,22:39:50,Checkout,drop off,393
J736826,C101196,P1024,28-10-2024,17:37:46,Product Page,view,163
J544363,C102970,P1015,22-05-2023,12:56:01,Product Page,view,68
J527122,C102442,P1013,29-01-2022,04:44:24,Checkout,drop off,257
J861832,C101020,P1001,09-09-2023,14:39:41,Homepage,view,156
J637228,C102165,P1011,18-02-2023,17:29:22,Homepage,view,71
J806773,C102828,P1008,01-06-2025,22:51:45,Product Page,view,216
J614412,C102324,P1008,07-01-2024,06:33:27,Product Page,view,345
J539895,C102892,P1022,31-07-2025,18:22:04,Homepage,view,256
J587568,C102192,P1001,27-05-2023,21:25:11,Checkout,purchase,357
J518483,C101502,P1017,12-07-2022,02:40:05,Homepage,view,333
J938606,C101080,P1010,26-05-2023,21:00:39,Checkout,drop off,327
J424632,C102047,P1007,28-07-2023,17:09:25,Homepage,view,201
J329393,C100142,P1023,16-06-2024,13:41:27,Product Page,view,185
J424106,C102334,P1010,11-04-2022,16:58:16,Homepage,view,158
J712806,C101895,P1016,30-04-2023,06:28:44,Checkout,drop off,314
J746069,C100713,P1006,03-05-2024,09:54:43,Homepage,view,399
J730132,C101738,P1016,08-03-2023,10:50:02,Homepage,view,208
J935310,C102354,P1012,18-02-2023,22:54:14,Checkout,drop off,125
J535386,C101447,P1008,21-08-2022,10:46:27,Homepage,view,377
J937813,C100181,P1024,24-10-2025,00:30:33,Homepage,view,127
J948559,C100766,P1015,26-08-2022,12:31:09,Product Page,view,197
J223063,C101636,P1017,03-07-2022,22:43:44,Homepage,view,63
J406547,C102170,P1008,13-09-2025,11:59:22,Checkout,drop off,128
J996909,C102573,P1019,19-05-2022,03:13:56,Product Page,view,92
J742210,C100275,P1021,21-12-2025,14:41:54,Product Page,view,87
J224394,C100490,P1015,20-06-2023,17:16:45,Homepage,view,202
J166278,C100261,P1023,01-10-2022,13:41:05,Checkout,drop off,146
J208364,C100920,P1012,02-03-2025,19:18:57,Checkout,drop off,294
J219057,C102046,P1006,07-07-2022,21:33:23,Homepage,view,339
J324195,C100452,P1019,27-07-2022,02:52:47,Homepage,view,144
J604033,C102416,P1020,05-01-2023,17:22:38,Product Page,view,170
J884896,C101127,P1014,03-08-2025,01:29:09,Checkout,drop off,389
J249256,C101917,P1011,02-09-2024,12:46:10,Checkout,drop off,285
J613378,C101334,P1004,27-05-2023,06:14:23,Checkout,drop off,358
J784639,C102542,P1020,05-01-2022,18:19:52,Product Page,view,309
J948502,C101730,P1008,25-04-2022,15:02:38,Homepage,view,386
J722144,C101566,P1009,29-08-2024,10:31:31,Checkout,drop off,265
J766435,C100984,P1020,24-03-2022,14:40:21,Checkout,drop off,370
J959528,C102065,P1011,17-04-2024,03:38:28,Homepage,view,379
J786138,C101490,P1003,05-03-2024,20:57:08,Checkout,drop off,339
J488189,C101222,P1012,04-10-2024,14:39:16,Product Page,view,338
J446252,C101431,P1012,10-06-2025,05:46:36,Product Page,view,326
J745903,C101902,P1020,20-05-2025,01:51:08,Homepage,view,47
J854267,C100900,P1007,15-06-2025,01:31:42,Checkout,drop off,327
J915356,C101104,P1003,01-07-2024,12:39:30,Checkout,drop off,153
J319376,C100601,P1005,12-06-2023,18:20:50,Checkout,drop off,316
J263983,C101236,P1005,30-04-2023,18:00:22,Product Page,view,240
J115147,C101105,P1019,07-09-2022,23:22:40,Homepage,view,349
J502414,C100648,P1015,16-04-2023,17:58:07,Product Page,view,209
J988840,C102324,P1012,04-06-2022,15:29:41,Homepage,view,116
J900256,C102863,P1014,26-10-2025,01:38:18,Checkout,drop off,184
J637603,C101973,P1011,03-05-2023,01:20:09,Checkout,drop off,316
J282300,C101443,P1016,31-07-2024,09:05:06,Product Page,view,382
J649125,C102453,P1006,22-07-2025,13:35:58,Checkout,drop off,
J823683,C102868,P1003,25-08-2023,13:09:48,Product Page,view,39
J485184,C101985,P1024,02-06-2022,20:30:26,Checkout,purchase,285
J409771,C101708,P1024,19-02-2023,16:17:51,Product Page,view,363
J819787,C101742,P1010,20-05-2023,04:54:43,Product Page,view,338
